collection	pathway	n_genes	auc[all pairs (旧版と同じ制限なし)]	within_med[all pairs (旧版と同じ制限なし)]	cross_med[all pairs (旧版と同じ制限なし)]	auc[exclude shared controls]	within_med[exclude shared controls]	cross_med[exclude shared controls]	auc[exclude shared cohort]	within_med[exclude shared cohort]	cross_med[exclude shared cohort]
KEGG	Spliceosome	52	0.7604	0.6171	0.2922	0.7917	0.6533	0.2922	0.7869	0.6624	0.2922
KEGG	Thermogenesis	60	0.6944	0.5478	0.3947	0.6517	0.5059	0.3947	0.6119	0.4659	0.3947
KEGG	Tight junction	47	0.8166	0.7749	0.4768	0.8472	0.7781	0.4768	0.8304	0.7659	0.4768
KEGG	Valine, leucine and isoleucine degradation	37	0.5862	0.8431	0.8333	0.5134	0.8336	0.8333	0.4577	0.8035	0.8333
KEGG	Viral carcinogenesis	36	0.7043	0.7923	0.6301	0.7596	0.7868	0.6301	0.7417	0.7868	0.6301
KEGG	Yersinia infection	34	0.7112	0.8349	0.6118	0.7505	0.8314	0.6118	0.7482	0.8734	0.6118
Hallmark	Hypoxia	53	0.7977	0.7115	0.5373	0.7821	0.7006	0.5373	0.7577	0.6862	0.5373
Hallmark	Mitotic Spindle	45	0.86	0.7381	0.4035	0.8547	0.7342	0.4035	0.8387	0.7249	0.4035
Hallmark	DNA Repair	36	0.7416	0.7102	0.3935	0.7821	0.7481	0.3935	0.7619	0.7481	0.3935
Hallmark	G2-M Checkpoint	34	0.8547	0.5255	0.041	0.8638	0.6609	0.041	0.8482	0.6609	0.041
Hallmark	Apoptosis	40	0.8886	0.8487	0.5894	0.899	0.8325	0.5894	0.8875	0.839	0.5894
Hallmark	Adipogenesis	86	0.7801	0.6986	0.5508	0.7212	0.6723	0.5508	0.6893	0.6334	0.5508
Hallmark	Estrogen Response Late	33	0.7804	0.7092	0.4002	0.8098	0.7107	0.4002	0.7881	0.7099	0.4002
Hallmark	Myogenesis	47	0.807	0.7903	0.5664	0.8066	0.7904	0.5664	0.7946	0.7916	0.5664
Hallmark	Protein Secretion	54	0.9042	0.7585	0.1716	0.9119	0.7854	0.1716	0.9018	0.7729	0.1716
Hallmark	Apical Junction	44	0.8238	0.8408	0.6498	0.875	0.8436	0.6498	0.8607	0.838	0.6498
Hallmark	Complement	40	0.8643	0.8318	0.587	0.8777	0.8449	0.587	0.8637	0.8536	0.587
Hallmark	Unfolded Protein Response	31	0.8478	0.6961	0.1502	0.8889	0.7121	0.1502	0.8762	0.7121	0.1502
Hallmark	mTORC1 Signaling	91	0.8249	0.675	0.3678	0.8499	0.7232	0.3678	0.8327	0.682	0.3678
Hallmark	E2F Targets	40	0.6736	0.7447	0.3683	0.7404	0.7981	0.3683	0.7107	0.7781	0.3683
Hallmark	Myc Targets V1	129	0.7581	0.6829	0.2428	0.7965	0.7206	0.2428	0.7732	0.712	0.2428
Hallmark	Epithelial Mesenchymal Transition	49	0.7433	0.8473	0.7272	0.765	0.8419	0.7272	0.7452	0.8528	0.7272
Hallmark	Xenobiotic Metabolism	71	0.7734	0.7095	0.4294	0.7938	0.6726	0.4294	0.7702	0.6654	0.4294
Hallmark	Fatty Acid Metabolism	93	0.6991	0.6879	0.4797	0.6907	0.6934	0.4797	0.6554	0.6389	0.4797
Hallmark	Oxidative Phosphorylation	121	0.5909	0.6774	0.6655	0.5011	0.562	0.6655	0.444	0.5174	0.6655
Hallmark	Glycolysis	67	0.6936	0.6362	0.4817	0.7217	0.6458	0.4817	0.6899	0.6332	0.4817
Hallmark	p53 Pathway	33	0.7471	0.7429	0.4507	0.7762	0.7515	0.4507	0.7506	0.7372	0.4507
Hallmark	UV Response Up	34	0.833	0.6066	0.2449	0.8707	0.6452	0.2449	0.856	0.5951	0.2449
Hallmark	heme Metabolism	47	0.7922	0.6437	0.3781	0.8323	0.6529	0.3781	0.8131	0.6373	0.3781
Hallmark	Coagulation	37	0.7731	0.7981	0.5267	0.7853	0.8348	0.5267	0.7798	0.8353	0.5267
Hallmark	IL-2/STAT5 Signaling	33	0.6997	0.8378	0.6936	0.7334	0.8393	0.6936	0.703	0.8274	0.6936
Hallmark	Bile Acid Metabolism	39	0.7457	0.7069	0.3719	0.7431	0.5724	0.3719	0.7137	0.5187	0.3719
Hallmark	Pperoxisome	44	0.7549	0.6003	0.3542	0.7222	0.5361	0.3542	0.6905	0.4966	0.3542
